,transfer_year,type,median_price,transaction_count,db_read_time
0,2000,House/Townhouse,280000,432,2021-08-02 22:34:32.965307
1,2000,Residential Apartment,240000,1236,2021-08-02 22:34:32.965307
2,2001,House/Townhouse,321500,648,2021-08-02 22:34:32.965307
3,2001,Residential Apartment,274950,2510,2021-08-02 22:34:32.965307
4,2002,House/Townhouse,372500,610,2021-08-02 22:34:32.965307
5,2002,Residential Apartment,335000,3506,2021-08-02 22:34:32.965307
6,2003,House/Townhouse,384000,601,2021-08-02 22:34:32.965307
7,2003,Residential Apartment,342250,4118,2021-08-02 22:34:32.965307
8,2004,House/Townhouse,395000,539,2021-08-02 22:34:32.965307
9,2004,Residential Apartment,359500,3633,2021-08-02 22:34:32.965307
10,2005,House/Townhouse,430000,551,2021-08-02 22:34:32.965307
11,2005,Residential Apartment,370000,4956,2021-08-02 22:34:32.965307
12,2006,House/Townhouse,525000,611,2021-08-02 22:34:32.965307
13,2006,Residential Apartment,351250,3846,2021-08-02 22:34:32.965307
14,2007,House/Townhouse,615000,681,2021-08-02 22:34:32.965307
15,2007,Residential Apartment,381500,4459,2021-08-02 22:34:32.965307
16,2008,House/Townhouse,579000,548,2021-08-02 22:34:32.965307
17,2008,Residential Apartment,419000,3517,2021-08-02 22:34:32.965307
18,2009,House/Townhouse,577500,588,2021-08-02 22:34:32.965307
19,2009,Residential Apartment,439000,5067,2021-08-02 22:34:32.965307
20,2010,House/Townhouse,782000,639,2021-08-02 22:34:32.965307
21,2010,Residential Apartment,446000,5005,2021-08-02 22:34:32.965307
22,2011,House/Townhouse,724999,565,2021-08-02 22:34:32.965307
23,2011,Residential Apartment,480000,3905,2021-08-02 22:34:32.965307
24,2012,House/Townhouse,720000,533,2021-08-02 22:34:32.965307
25,2012,Residential Apartment,505000,4726,2021-08-02 22:34:32.965307
26,2013,House/Townhouse,724000,522,2021-08-02 22:34:32.965307
27,2013,Residential Apartment,495000,7422,2021-08-02 22:34:32.965307
28,2014,House/Townhouse,849975,496,2021-08-02 22:34:32.965307
29,2014,Residential Apartment,520000,7451,2021-08-02 22:34:32.965307
30,2015,House/Townhouse,918000,418,2021-08-02 22:34:32.965307
31,2015,Residential Apartment,539550,7577,2021-08-02 22:34:32.965307
32,2016,House/Townhouse,1200000,439,2021-08-02 22:34:32.965307
33,2016,Residential Apartment,538000,8578,2021-08-02 22:34:32.965307
